id,title,release_date,vote_average,vote_count,genres,budget,popularity,revenue,neg,neu,pos,compound,topics
557,Spider-Man,1020225600,7.2,14575,"['fantasy', 'action']",139000000,639.111,821708551,0.071,0.694,0.235,1.0,"[1.04836132950143e-05,4.0672770278863046e-05,9.635277265945338e-06,9.99661672100455e-06,9.949121277785926e-06,1.0157983257311728e-05,0.9998745577601217,1.5314903900346698e-05,9.41351111306225e-06,9.818442768955728e-06]"
20982,Naruto Shippuden the Movie,1186200000,7.3,393,"['animation', 'action', 'fantasy']",29000000,323.73,0,0.107,0.729,0.163,0.9975,"[0.3242101266156797,0.445060683910558,8.443693194614018e-05,0.024966992148479538,8.718724995885329e-05,8.90175695063591e-05,0.15870252889881237,0.0001342113132836672,0.0345824486283166,0.012082366733458673]"
19995,Avatar,1260421200,7.5,24488,"['action', 'adventure', 'fantasy', 'science fiction']",237000000,312.516,2847246203,0.07,0.762,0.167,1.0,"[8.968303091894596e-06,0.5498262364662696,8.242585840545172e-06,8.551697131651686e-06,8.511066771335357e-06,8.689740006623102e-06,0.3083602582668372,0.1417540897233367,8.052874025035008e-06,8.399276689298736e-06]"
674,Harry Potter and the Goblet of Fire,1132117200,7.8,16453,"['adventure', 'fantasy', 'family']",150000000,221.838,895921036,0.098,0.754,0.149,1.0,"[9.116835954520188e-06,0.1340171428290333,0.0010028897807324577,8.693329520202967e-06,8.65202627236103e-06,8.833658339995623e-06,0.010790848128792907,0.8541370987817228,8.186244993983856e-06,8.53838463739984e-06]"
12444,Harry Potter and the Deathly Hallows: Part 1,1287288000,7.8,15338,"['adventure', 'fantasy']",250000000,202.483,954305868,0.099,0.739,0.162,1.0,"[9.868428276236743e-06,0.06080536059887463,9.069872604528444e-06,9.410008397184233e-06,9.365300235377667e-06,9.561905740113345e-06,1.8543113134855754e-05,0.939110717362952,8.861119789859839e-06,9.242289995130744e-06]"
24021,The Twilight Saga: Eclipse,1277265600,6.2,7210,"['adventure', 'fantasy', 'drama', 'romance']",68000000,198.998,698491347,0.11,0.733,0.157,1.0,"[9.699791510783927e-06,3.815725575354178e-05,8.91488219694859e-06,9.249205226879628e-06,9.205260929990269e-06,9.398507018533676e-06,1.822466677484514e-05,0.9998793563812726,8.7096964372383e-06,9.08435287859358e-06]"
675,Harry Potter and the Order of the Phoenix,1183003200,7.7,15648,"['adventure', 'fantasy', 'mystery']",150000000,189.676,938212738,0.098,0.751,0.151,1.0,"[9.22767605437112e-06,3.601166938253714e-05,8.480970276897398e-06,8.799021092760425e-06,8.757215830990546e-06,8.94105596193898e-06,0.00510943129877293,0.9947934231286282,8.28577157284119e-06,8.642192426493276e-06]"
38575,The Karate Kid,1276142400,6.5,4700,"['action', 'adventure', 'drama', 'family']",40000000,184.358,359126022,0.08,0.734,0.186,1.0,"[0.059082220803776335,0.6041832584145459,0.05805676056105,0.05395854839959857,0.0355604147643546,0.012452169146516657,0.04949511758814237,0.03693848271478178,0.049406430189995174,0.040866597417238616]"
558,Spider-Man 2,1088136000,7.2,11743,"['action', 'adventure', 'fantasy']",200000000,180.27,783766341,0.096,0.71,0.194,1.0,"[1.11483283101519e-05,0.03314598253643121,1.0246202714424834e-05,1.0630452983884074e-05,1.0579946455281718e-05,1.0802050868127968e-05,0.9667638730910543,1.628603395641686e-05,1.0010375420998023e-05,1.0440981805140387e-05]"
15092,Crank: High Voltage,1239854400,6.0,2142,"['action', 'thriller', 'crime']",20000000,173.905,34560577,0.108,0.759,0.132,0.9997,"[9.417021821130779e-06,0.5322496351739705,8.654994680843893e-06,8.979571756455393e-06,0.11234800704950129,9.124521179948978e-06,1.769610123936727e-05,0.07308332806271675,0.2822563379780141,8.819525119736519e-06]"
38234,Undisputed III: Redemption,1274500800,7.5,579,"['action', 'thriller']",3000000,172.225,0,0.136,0.664,0.2,0.9999,"[2.104894488359557e-05,0.4099835313586656,1.9345658048476927e-05,0.3680832930213705,1.997579300837634e-05,0.005128659487576057,0.06329575016701462,0.1460679548301879,0.007360727322508504,1.9713416736211307e-05]"
25769,Carriers,1252036800,6.0,923,"['action', 'drama', 'horror', 'science fiction', 'thriller']",0,168.625,5802422,0.169,0.713,0.118,-1.0,"[1.041756767658333e-05,0.8653012834863839,9.574574982543228e-06,9.93363872217607e-06,9.886442075622301e-06,0.10883338117311502,1.9576747059909e-05,0.025786835577189037,9.354206155264921e-06,9.756586639763127e-06]"
10138,Iron Man 2,1272427200,6.8,17090,"['adventure', 'action', 'science fiction']",200000000,166.914,623933331,0.097,0.721,0.182,1.0,"[1.0353828533398902e-05,0.06820197773635008,9.515994590576921e-06,9.872860827498059e-06,9.825953472404058e-06,1.0032229546765332e-05,0.9317143022199996,1.5125310270307305e-05,9.296973827303704e-06,9.69689258211665e-06]"
4564,Sex and the City,1210564800,6.6,1721,"['comedy', 'drama', 'romance']",65000000,166.568,415252786,0.053,0.776,0.171,1.0,"[0.9378532904585882,0.062057733151220394,9.12199088812634e-06,9.464081210292476e-06,9.419115931437436e-06,9.6168513328961e-06,1.8647837807899303e-05,1.449907563677397e-05,8.912038533751662e-06,9.295398850212575e-06]"
22894,Legion,1264050000,5.8,1953,"['horror', 'action', 'fantasy']",26000000,162.742,67918658,0.096,0.744,0.16,0.9999,"[1.812237340637201e-05,0.6696580563004004,1.6655906629798765e-05,1.728053180095792e-05,1.7198429416304253e-05,1.7559476491848408e-05,0.03936260252020822,2.647407811978655e-05,0.2908490778494665,1.6972534059817087e-05]"
32657,Percy Jackson & the Olympians: The Lightning Thief,1265000400,6.2,6076,"['adventure', 'fantasy', 'family']",95000000,151.605,226497209,0.083,0.731,0.186,1.0,"[1.1258322436197101e-05,0.21961826187567773,1.0347294983846678e-05,1.073533644946634e-05,1.0684331471028037e-05,1.0908627482236389e-05,0.08778274844127958,0.6925244026327204,1.0109140933267502e-05,1.0543996566278326e-05]"
50723,Naruto Shippuden the Movie: The Lost Tower,1280548800,7.0,267,"['adventure', 'action', 'animation']",0,151.113,0,0.137,0.737,0.126,-0.8235,"[0.5325619304265163,0.23896900646711178,0.00012683084032563796,0.00013158721350175955,0.0001309620236754716,0.0001337113099596533,0.22749122384550996,0.00020159430108138203,0.0001239116927299453,0.00012924187958802472]"
22832,Ninja Assassin,1254196800,6.5,1068,['action'],40000000,148.896,60462347,0.134,0.746,0.12,-0.9995,"[0.459466430332101,0.481007229079909,9.711331706680555e-06,1.0075523564887387e-05,1.0027653263773651e-05,1.0238163753323815e-05,1.985328166392702e-05,0.059447050875948114,9.487815059028134e-06,9.895943030434403e-06]"
18785,The Hangover,1243915200,7.3,13947,['comedy'],35000000,148.392,469310836,0.073,0.736,0.191,1.0,"[1.282417970534429e-05,0.8081726126678964,0.19171138471541807,1.2228456271050798e-05,1.2170356893340971e-05,1.2425849294937514e-05,2.4093861757435523e-05,1.8734242806706684e-05,1.1515166764609364e-05,1.2010503192233265e-05]"
808,Shrek,990158400,7.7,13197,"['animation', 'comedy', 'fantasy', 'adventure', 'family']",60000000,143.875,487853320,0.092,0.698,0.21,1.0,"[2.1225851039025165e-05,0.06951257418570793,1.9508250312326466e-05,2.023984285209101e-05,2.0143680187555887e-05,2.0566556968402405e-05,0.930315795468084,3.100781808427418e-05,1.9059246775713564e-05,1.9879099988803438e-05]"
862,Toy Story,815029200,8.0,14772,"['animation', 'adventure', 'family', 'comedy']",30000000,140.654,373554033,0.042,0.736,0.222,1.0,"[1.7851799783929733e-05,0.6927460397049058,1.640722852434363e-05,1.7022527952814846e-05,1.6941651032374226e-05,1.729730723469457e-05,3.3545710463444415e-05,2.6078820963187778e-05,1.602959856535982e-05,0.307092785650574]"
27205,Inception,1279166400,8.4,30432,"['action', 'science fiction', 'adventure']",160000000,126.248,825532764,0.069,0.728,0.202,1.0,"[8.786963950457975e-06,0.9999124363195218,8.075920889697165e-06,8.378781779994057e-06,8.338973365410873e-06,8.514033591484546e-06,1.6513094958975185e-05,1.2836423966745405e-05,7.89004474155799e-06,8.22944323385566e-06]"
10358,Zack and Miri Make a Porno,1221710400,6.3,1778,['comedy'],24000000,123.15,42105111,0.081,0.72,0.199,1.0,"[9.922563940238892e-06,0.6899221003978583,9.119627657908844e-06,9.46162941062609e-06,9.416675838103034e-06,9.614360087008333e-06,1.8642680926845866e-05,1.4495290834229281e-05,0.3099879337825583,9.292990888390769e-06]"
43347,Love & Other Drugs,1290402000,7.0,4013,"['drama', 'comedy', 'romance']",30000000,123.057,102820008,0.075,0.737,0.188,1.0,"[0.3898058700300537,0.6101169599794714,7.911615900310003e-06,8.20831504281633e-06,8.169316302767467e-06,8.340814731237057e-06,1.6173121427078132e-05,1.2575270605977717e-05,7.729521644756506e-06,8.062014820077044e-06]"
809,Shrek 2,1084939200,7.2,9436,"['animation', 'family', 'comedy', 'fantasy', 'adventure']",150000000,121.399,928760770,0.066,0.722,0.213,1.0,"[0.16568262104285464,0.09194153774519533,1.1721108982377474e-05,1.2160671389543247e-05,1.2102893719652455e-05,1.2356971103784036e-05,0.6870586275215109,0.05524547678432577,1.1451334991954468e-05,1.1943925925777563e-05]"
22803,Law Abiding Citizen,1255579200,7.3,3801,"['drama', 'crime', 'thriller']",53000000,121.013,126690726,0.178,0.695,0.127,-1.0,"[8.814400309082907e-06,0.5915641273192881,8.10113707339653e-06,8.404943873338622e-06,8.365010718431588e-06,8.540617246161558e-06,1.656137055136161e-05,0.1381580710922047,7.914680627846976e-06,0.2702110994281075]"
14161,2012,1255147200,5.8,10065,"['action', 'adventure', 'science fiction']",200000000,117.236,791217826,0.115,0.773,0.112,-0.9984,"[5.913182500128282e-06,0.21483391587911435,5.434686511516261e-06,0.7851127990218773,5.611707350214555e-06,5.729513816740394e-06,1.1110140741096075e-05,8.63826735750803e-06,5.3096014357084645e-06,5.537999295664889e-06]"
14869,G.I. Joe: The Rise of Cobra,1249272000,5.7,3766,"['adventure', 'action', 'thriller', 'science fiction']",175000000,115.432,302469017,0.125,0.718,0.157,0.9999,"[1.0742056414426095e-05,0.6585485616475191,9.872807167212178e-06,1.0243054405514768e-05,0.31179967389118857,1.0408398643239429e-05,2.018434271032421e-05,0.029570607740353708,9.64557371502424e-06,1.0060487882889198e-05]"
10196,The Last Airbender,1277870400,4.7,3122,"['action', 'adventure', 'fantasy']",150000000,114.809,319713881,0.131,0.739,0.131,0.944,"[0.12133586659295216,0.24153700591203978,9.75843933919678e-06,1.0124397497649986e-05,1.0076294870427064e-05,1.0287826967929492e-05,0.22565471038535148,0.29090900709358986,0.1205132191114399,9.943945951614133e-06]"
34851,Predators,1278129600,6.2,3012,"['science fiction', 'action', 'thriller']",40000000,114.607,127233108,0.095,0.769,0.136,0.9999,"[7.728808631960516e-06,0.5121134417713789,0.15992742621156758,7.369781351317265e-06,0.049032633642086966,0.11454036153111335,0.013023630323680412,0.15133322960436163,6.939899437863133e-06,7.238426390064511e-06]"
24418,Cirque du Freak: The Vampire's Assistant,1256270400,5.7,844,"['adventure', 'fantasy', 'action', 'thriller']",40000000,113.46,28169671,0.112,0.723,0.165,0.9999,"[0.035679969598383494,0.3828854143715947,1.041938810537487e-05,1.0810133044640913e-05,1.0758772933903795e-05,1.098463132799577e-05,0.07072021043269462,0.24903660053895177,1.017957472419525e-05,0.26162465255823925]"
14836,Coraline,1233810000,7.8,5412,"['animation', 'family', 'fantasy']",60000000,112.741,124596398,0.066,0.76,0.174,1.0,"[1.3667770474418459e-05,0.5753036791566412,1.2561771194620146e-05,0.2594819771351517,1.2970937997633194e-05,1.3243236993157919e-05,0.16511685995859238,1.996681542692135e-05,1.2272648446890363e-05,1.2800569081057644e-05]"
863,Toy Story 2,941256000,7.6,11088,"['animation', 'comedy', 'family']",90000000,112.333,497366869,0.066,0.717,0.217,1.0,"[1.526581988515213e-05,0.6447899594284574,1.403050557620655e-05,1.455667377960268e-05,1.4487513028898232e-05,1.4791649188260177e-05,0.03866257355492104,0.050963404722779056,1.3707578163222875e-05,0.26549722255422104]"
23168,The Town,1284523200,7.2,3816,"['crime', 'drama', 'thriller']",37000000,110.329,154026136,0.102,0.734,0.163,1.0,"[1.0071019027051899e-05,0.630199040249408,9.256070204363077e-06,9.603188482142938e-06,9.557562450117463e-06,0.3697103620173917,1.8922641607833123e-05,1.4712193224199023e-05,9.043031557266508e-06,9.432026647333744e-06]"
45682,Jackie Chan Kung Fu Master,1246593600,4.4,46,"['action', 'comedy', 'family']",0,109.416,0,0.119,0.754,0.127,0.9391,"[3.026949147535235e-05,0.126639335005518,2.7820078004456818e-05,2.8863378585001284e-05,2.8726244441257596e-05,2.932929422320321e-05,0.8731159085858239,4.4219218195470336e-05,2.717976923091926e-05,2.8348934502448054e-05]"
44571,The King of Fighters,1282795200,4.8,95,"['action', 'thriller', 'science fiction']",12000000,109.365,2000371,0.147,0.718,0.135,-0.9984,"[1.1633275685565932e-05,0.3453428152015409,1.0691908662305179e-05,1.1092873605035093e-05,1.1040169663533446e-05,1.1271935912982193e-05,2.1858550149383114e-05,0.6545582551013565,1.0445822888970832e-05,1.0895160534968504e-05]"
534,Terminator Salvation,1242792000,6.0,5162,"['action', 'science fiction', 'thriller']",200000000,108.965,371353001,0.092,0.77,0.137,0.9999,"[8.49737928844064e-06,0.19257779480283949,7.809769660142694e-06,8.102649575011464e-06,8.064152973623558e-06,8.233443475457433e-06,1.596605477748637e-05,0.8073499434955846,7.630019410616877e-06,7.958232414984369e-06]"
36728,Naruto Shippuden the Movie: The Will of Fire,1249099200,7.2,281,"['action', 'adventure', 'comedy', 'drama', 'fantasy', 'animation']",0,107.371,8084148,0.102,0.705,0.193,0.9996,"[0.6853891140773467,0.3139793943758962,6.473952700223981e-05,6.71673707048438e-05,6.684824870783754e-05,6.825159354318549e-05,0.00013236338708482077,0.00010290172360284233,6.32494779958416e-05,6.597021811522526e-05]"
38365,Grown Ups,1277352000,6.3,4696,['comedy'],80000000,106.067,271430189,0.091,0.716,0.193,1.0,"[1.194269556463588e-05,0.9998809960742098,1.0976289892158912e-05,1.138792048386326e-05,1.1333813932445177e-05,1.157174473121599e-05,2.243631423113753e-05,1.74465399982869e-05,1.0723658868398656e-05,1.1184948088086293e-05]"
17581,Naruto Shippuden the Movie: Bonds,1217649600,7.2,271,"['fantasy', 'animation', 'action']",0,103.701,0,0.113,0.745,0.142,0.9935,"[0.4986155772852854,0.20587515008369808,7.53470507294614e-05,7.817269542349725e-05,7.780128437929932e-05,7.943456631216268e-05,0.29492836129536304,0.00011976349142699771,7.361285853884032e-05,7.677938884320047e-05]"
