title,vote_average,popularity,prediction,release_date,vote_count,budget,revenue,neg
Finding Nemo,7.8,76.345,7.785270225593258,1054252800,15746,94000000,940335536,0.06
The Shawshank Redemption,8.7,77.05,5.899985253209461,780278400,20286,25000000,28341469,0.109
Terminator Salvation,6.0,108.965,6.729098487411492,1242777600,5162,200000000,371353001,0.092
Titanic,7.9,119.177,7.117402592761123,879811200,20186,200000000,2187463944,0.089
The Matrix Reloaded,7.0,120.841,6.820894881624174,1052956800,8379,150000000,738599701,0.088
Harry Potter and the Philosopher's Stone,7.9,257.6,7.089377640218333,1005868800,21591,125000000,976475550,0.071
Shrek,7.7,143.875,7.347147477067405,990144000,13197,60000000,487853320,0.09
Ghostbusters II,6.5,74.272,6.5450975409827254,613958400,3241,37000000,215394738,0.101
Corpse Bride,7.5,89.574,6.6494442276774475,1126483200,6816,40000000,118090836,0.105
Sex and the City,6.6,166.568,7.0711093564380025,1210550400,1721,65000000,415252786,0.053
Superbad,7.2,88.106,6.356404888391532,1174348800,5444,20000000,121463226,0.1
The Nightmare Before Christmas,7.8,93.377,6.494142666074701,750124800,7184,24000000,75634409,0.073
The Lion King II: Simba's Pride,7.0,82.986,7.25289755306367,909187200,3598,0,0,0.086
Toy Story 3,7.8,89.527,7.612012284684426,1276646400,11973,200000000,1066969703,0.055
Public Enemies,6.7,101.202,6.716896515261117,1246406400,3478,100000000,214104620,0.123
Lilo & Stitch,7.5,71.525,7.182982423514365,1024617600,4770,80000000,273144151,0.077
Knowing,6.1,251.523,6.718474335630898,1237420800,4121,50000000,155446362,0.096
Inglourious Basterds,8.2,103.357,6.746748030361513,1250640000,17863,70000000,321455689,0.122
Naruto the Movie: Guardians of the Crescent Moon Kingdom,7.0,70.106,6.76572176027457,1154736000,223,25000000,0,0.114
Jennifer's Body,5.8,83.373,5.551463404011544,1253232000,2806,16000000,31556061,0.119
Jonah Hex,4.9,89.904,6.675191870884469,1276819200,1111,47000000,10539000,0.155
The Town,7.2,110.329,6.99320225301245,1284508800,3816,37000000,154026136,0.102
Carriers,6.0,168.625,6.087247278700602,1252022400,923,0,5802422,0.169
Predators,6.2,114.607,6.847485054680325,1278115200,3012,40000000,127233108,0.095
Skyfall,7.2,79.864,7.315926548281268,1351123200,13055,200000000,1108561013,0.107
Real Steel,6.9,142.801,6.874439262245631,1317168000,6384,110000000,299268508,0.087
No Strings Attached,6.3,90.221,7.393384056669673,1295568000,3876,25000000,149228077,0.081
Love & Other Drugs,7.0,123.057,7.504020898775327,1290384000,4013,30000000,102820008,0.075
Unknown,6.6,75.908,5.300818813646789,1297814400,3065,30000000,130786397,0.094
Friends with Benefits,6.7,73.891,6.929479516549815,1311206400,6570,35000000,149542245,0.066
The Twilight Saga: Breaking Dawn - Part 2,6.5,108.797,7.006622084760278,1352764800,7396,120000000,829000000,0.097
Alvin and the Chipmunks: Chipwrecked,5.7,65.24,7.019594786179868,1323820800,1686,75000000,342695435,0.09
Hansel & Gretel: Witch Hunters,6.0,80.015,5.9483767652295425,1358380800,5703,50000000,226349749,0.14
Drive,7.6,80.553,6.246810947857291,1312588800,9872,15000000,78054825,0.102
Iron Man 3,6.9,101.965,7.244059006649158,1366243200,18683,200000000,1214811252,0.117
Transformers: Age of Extinction,5.9,103.667,6.9211899381118975,1403654400,6441,210000000,1104000000,0.114
The Hangover Part III,6.2,88.938,6.830846134159386,1369267200,7090,103000000,362000072,0.11
Dawn of the Planet of the Apes,7.3,92.254,7.282700287133237,1403740800,9147,170000000,710644566,0.108
The Hobbit: The Battle of the Five Armies,7.3,167.26,6.408319922171936,1418169600,11517,250000000,956019788,0.117
