title,prediction,vote_average,popularity,release_date,vote_count,budget,revenue,neg,topics
The Lord of the Rings: The Return of the King,7.202275810742997,8.5,94.255,2003-12-01,18713,94000000,1118888979,0.092,"[7.761097639410694e-06,0.7068294874326223,6.8476005146345745e-06,1.198907614228495e-05,1.0534433104333621e-05,6.997002995940893e-06,7.1510680144835155e-06,0.29310536286038086,6.71476227011788e-06,7.1546663158626075e-06]"
Harry Potter and the Order of the Phoenix,7.218639461352507,7.7,189.676,2007-06-28,15648,150000000,938212738,0.098,"[0.8530859774304091,9.851692672190777e-06,8.594347012230072e-06,1.504744741832508e-05,1.3221673112954271e-05,8.781860320514606e-06,8.97522570784037e-06,0.1468321429583122,8.42762321412894e-06,8.979741820278794e-06]"
The Incredibles,7.272832833539837,7.7,87.423,2004-10-27,14605,92000000,631442092,0.072,"[1.5050734699657318e-05,1.5221972147393846e-05,1.3279233403017953e-05,2.325057624458054e-05,2.0428995542550817e-05,1.3568962668398657e-05,0.41768619110524086,0.5821861120817248,1.3021626513550555e-05,1.3874711815102881e-05]"
Iron Man 2,7.2190618100586015,6.8,166.914,2010-04-28,17090,200000000,623933331,0.097,"[1.0943712252576891e-05,1.106822282533316e-05,9.655615111920107e-06,1.6905123739781135e-05,1.4854368077605584e-05,9.866283489401984e-06,1.008352639980042e-05,0.99989706624452,9.468303563838219e-06,1.00886000197051e-05]"
2012,6.785957724142924,5.8,117.236,2009-10-10,10065,200000000,791217826,0.115,"[6.242918353569232e-06,0.048969378166461325,0.6690164052666414,9.644221782675934e-06,0.10352650814846899,5.6282908872584455e-06,5.752219068258967e-06,0.17844928439437707,5.401260587545086e-06,5.755113371756169e-06]"
G.I. Joe: The Rise of Cobra,6.653265078707147,5.7,115.432,2009-08-03,3766,175000000,302469017,0.125,"[1.1338920052568082e-05,0.023845962752915565,1.0004305070858677e-05,0.05996571535998624,0.4669284258759509,1.02225811859763e-05,1.0447669927233605e-05,0.44919761937947883,9.810229177532203e-06,1.0452926254216438e-05]"
Crank: High Voltage,6.736164197783343,6.0,173.905,2009-04-16,2142,20000000,34560577,0.108,"[9.941926043234025e-06,1.0055039727568841e-05,8.7717416653701e-06,0.24507134957630264,1.349461964543797e-05,0.40863792146248573,9.160482205364352e-06,0.34622153848395404,8.601576498181688e-06,9.165091472371523e-06]"
A Christmas Carol,7.047640562806375,6.8,87.931,2009-11-04,3603,200000000,325286646,0.088,"[0.8205673592462305,8.971388334560671e-06,7.826393930294308e-06,1.3702581012276441e-05,1.204021836750536e-05,7.997151916100145e-06,8.173239304102168e-06,0.1793580778610535,7.674567853253797e-06,8.177351998014417e-06]"
Percy Jackson & the Olympians: The Lightning Thief,6.915635981103317,6.2,151.605,2010-02-01,6076,95000000,226497209,0.083,"[1.1885490929605377e-05,0.7204649326314644,1.0486542527276384e-05,1.8361158200697973e-05,1.613267928995181e-05,1.0715340241328245e-05,1.0951278532408725e-05,0.27943529497836184,1.0283111605749918e-05,1.0956788846983505e-05]"
Predators,6.893597471566526,6.2,114.607,2010-07-03,3012,40000000,127233108,0.095,"[8.158918066115111e-06,0.022788823507239743,7.198596553724451e-06,0.326794357343749,0.37884454684402136,7.3556571554278315e-06,0.03272885177776671,0.18296548010904579,0.028760242607572647,0.027094984638829537]"
Naruto Shippuden the Movie: The Will of Fire,6.898832250671833,7.2,107.371,2009-08-01,281,0,8084148,0.102,"[7.434215512069582e-05,7.518797853177184e-05,6.559194257311032e-05,0.00011483806807600977,0.0001009064939090157,6.70230427989214e-05,6.849880176445582e-05,0.9993007587395267,6.431950842893611e-05,6.853326927034593e-05]"
