title,prediction,vote_average,popularity,release_date,vote_count,budget,revenue,neg
The Lord of the Rings: The Return of the King,7.202275811,8.5,94.255,2003/12/1,18713,94000000,1118888979,0.092
Harry Potter and the Order of the Phoenix,7.218639461,7.7,189.676,2007/6/28,15648,150000000,938212738,0.098
The Incredibles,7.272832834,7.7,87.423,2004/10/27,14605,92000000,631442092,0.072
Iron Man 2,7.21906181,6.8,166.914,2010/4/28,17090,200000000,623933331,0.097
2012,6.785957724,5.8,117.236,2009/10/10,10065,200000000,791217826,0.115
G.I. Joe: The Rise of Cobra,6.653265079,5.7,115.432,2009/8/3,3766,175000000,302469017,0.125
Crank: High Voltage,6.736164198,6,173.905,2009/4/16,2142,20000000,34560577,0.108
A Christmas Carol,7.047640563,6.8,87.931,2009/11/4,3603,200000000,325286646,0.088
Percy Jackson & the Olympians: The Lightning Thief,6.915635981,6.2,151.605,2010/2/1,6076,95000000,226497209,0.083
Predators,6.893597472,6.2,114.607,2010/7/3,3012,40000000,127233108,0.095
Naruto Shippuden the Movie: The Will of Fire,6.898832251,7.2,107.371,2009/8/1,281,0,8084148,0.102
The Karate Kid,6.93242198,6.5,184.358,2010/6/10,4700,40000000,359126022,0.08
TEKKEN,6.4077619,5.4,88.134,2010/3/20,519,30000000,967000,0.139
Spider-Man 3,6.940295216,6.3,587.794,2007/5/1,10713,258000000,890871626,0.113
The Matrix,7.244780763,8.2,199.756,1999/3/30,20387,63000000,463517383,0.071
Harry Potter and the Prisoner of Azkaban,7.208640848,8,207.452,2004/5/31,17119,130000000,789804554,0.106
Harry Potter and the Half-Blood Prince,7.178682638,7.7,187.796,2009/7/7,15419,250000000,933959197,0.093
Corpse Bride,7.082854431,7.5,89.574,2005/9/12,6816,40000000,118090836,0.105
The Polar Express,7.129437998,6.7,132.898,2004/11/10,4828,165000000,310634054,0.053
The Lion King,7.294448994,8.3,138.857,1994/6/23,14715,45000000,763455561,0.071
Jennifer's Body,6.653265079,5.8,83.373,2009/9/18,2806,16000000,31556061,0.121
